

#######################
Test files for Azeri
#######################


File Name: Azeri_l1.txt, Original Language: Azeri, Identified Language: Azeri 
File Name: Azeri_l2.txt, Original Language: Azeri, Identified Language: Azeri 
File Name: Azeri_l3.txt, Original Language: Azeri, Identified Language: Azeri 
File Name: Azeri_l4.txt, Original Language: Azeri, Identified Language: Azeri 
File Name: Azeri_l5.txt, Original Language: Azeri, Identified Language: Azeri 
File Name: Azeri_s1.txt, Original Language: Azeri, Identified Language: Azeri 
File Name: Azeri_s2.txt, Original Language: Azeri, Identified Language: Azeri 
File Name: Azeri_s3.txt, Original Language: Azeri, Identified Language: Azeri 
File Name: Azeri_s4.txt, Original Language: Azeri, Identified Language: Azeri 
File Name: Azeri_s5.txt, Original Language: Azeri, Identified Language: Azeri 


#######################
Test files for Dutch
#######################


File Name: nl_NL_l1, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_l10, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_l2, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_l3, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_l4, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_l5, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_l6, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_l7, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_l8, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_l9, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_m1, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_m10, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_m2, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_m3, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_m4, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_m5, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_m6, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_m7, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_m8, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_m9, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_s1, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_s10, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_s2, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_s3, Original Language: Dutch, Identified Language: French Dutch 
File Name: nl_NL_s4, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_s5, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_s6, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_s7, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_s8, Original Language: Dutch, Identified Language: Dutch 
File Name: nl_NL_s9, Original Language: Dutch, Identified Language: Dutch 


#######################
Test files for English
#######################


File Name: en_UK_l1, Original Language: English, Identified Language: English 
File Name: en_UK_l10, Original Language: English, Identified Language: English 
File Name: en_UK_l2, Original Language: English, Identified Language: English 
File Name: en_UK_l3, Original Language: English, Identified Language: English 
File Name: en_UK_l4, Original Language: English, Identified Language: English 
File Name: en_UK_l5, Original Language: English, Identified Language: English 
File Name: en_UK_l6, Original Language: English, Identified Language: English 
File Name: en_UK_l7, Original Language: English, Identified Language: English 
File Name: en_UK_l8, Original Language: English, Identified Language: English 
File Name: en_UK_l9, Original Language: English, Identified Language: English 
File Name: en_UK_m1, Original Language: English, Identified Language: English 
File Name: en_UK_m10, Original Language: English, Identified Language: English 
File Name: en_UK_m2, Original Language: English, Identified Language: English 
